strategy_id,classification,allow_enter_v9,cagr,cost50_t1_cagr,max_drawdown,calmar,cost50_t1_calmar,single_year_share,top_ticker,top_ticker_share,remove_top_year_cagr,remove_top_year_calmar,remove_top_ticker_cagr,remove_top_ticker_calmar
top5_equal_mw20p,credible_but_execution_sensitive,False,0.803998584131256,0.7222660831386543,-0.3929853384783275,2.045874248755454,1.7974029528466235,0.6577735330262543,PLTR,0.1414552045520219,0.4528356128425936,1.1522964561375526,0.6345275831298174,1.9290869610207408
top5_voltarget20p_w20,credible_but_execution_sensitive,False,0.4299367020970288,0.3584032602438463,-0.2104513240346982,2.0429270477107706,1.6466224362765598,0.6369903389222678,PLTR,0.1533064056120695,0.2419449589079707,1.1496480719127251,0.3355194460909272,2.01611518754612
top5_voltarget25p_w20,credible_but_execution_sensitive,False,0.5164493545814095,0.4338272461165051,-0.2570907145051647,2.0088214993507068,1.6335186433383488,0.6478184662765162,PLTR,0.1412155542652962,0.2779627634972863,1.0811855419683098,0.4110013718142931,2.009425046034404
top5_roll3mcap50p_derisk50,credible_but_execution_sensitive,False,0.7806226485681054,0.6732085387626177,-0.3929853384783276,1.9863912775747363,1.6753202783595178,0.6533994835974042,PLTR,0.1376234342896617,0.4438934809642636,1.1295420910180944,0.6212246951919729,1.888643600720726
top5_equal_mw15p,credible_but_execution_sensitive,False,0.5834067357279338,0.5293605303009916,-0.3084707697268539,1.891286932128225,1.6751374907382262,0.6397772675034153,PLTR,0.1414552045520219,0.3488928302079996,1.1310401647356687,0.4665792761368768,1.82678568677166
top5_ytdcap80p_derisk50p,credible_but_execution_sensitive,False,0.7282087845692375,0.6356623170465396,-0.3929853384783273,1.853017691166098,1.5818842284657588,0.5838579355172822,PLTR,0.1418783412176366,0.4911486563825966,1.249788753657746,0.5766518440540083,1.753133485428901
top5_ytdcap80p_derisk75p,credible_but_execution_sensitive,False,0.6863510515138149,0.5890809229814893,-0.3929853384783276,1.7465054909463649,1.465963604204409,0.542201438067412,PLTR,0.1388798640132381,0.5073823487330198,1.291097399963182,0.5440540583782825,1.6540298924928525
top5_equal_mw10p,credible_but_execution_sensitive,False,0.3741523301307423,0.3427399434164482,-0.2151615338178294,1.7389368977427233,1.551929664281341,0.6228348722668007,PLTR,0.1414552045520219,0.2366106201798434,1.099688294563721,0.303358665810256,1.7215842693746737
top10_ytdcap80p_derisk100p,credible_but_execution_sensitive,False,0.5164192156237493,0.437218705114432,-0.3372420039507088,1.5313015863208692,1.271579367220024,0.5638122518352354,PLTR,0.1232175092382526,0.3584384415355788,1.0628523058710324,0.4228343862388846,1.392169873086192
top10_ytdcap80p_derisk75p,credible_but_execution_sensitive,False,0.5048633828213873,0.4305459683227441,-0.3372420039507087,1.4970358878995933,1.2521727994589766,0.5536205358289088,PLTR,0.1242059644235152,0.3584384415355788,1.0628523058710324,0.4119917141707478,1.3564706918268787
top10_ytdcap80p_derisk50p,credible_but_execution_sensitive,False,0.4931998807456437,0.4237134397670592,-0.3372420039507086,1.4624509253530884,1.2323015033874227,0.5429478738069248,PLTR,0.1250680505204565,0.3584384415355788,1.0628523058710324,0.4010480175686752,1.3204388902387405
top10_roll6mcap50p_derisk50,credible_but_execution_sensitive,False,0.4305794129169489,0.3579622459677627,-0.3019334288999454,1.4260740007680106,1.1530008005567456,0.5282286966989514,PLTR,0.1250336421908433,0.3206230679581496,1.0618998668888604,0.3489803520254828,1.2441343077459603
top10_equal_mw20p,credible_but_execution_sensitive,False,0.4695386369753933,0.4095539068523175,-0.3372420039507088,1.392289903021751,1.1911208089357852,0.5200177805027963,PLTR,0.1268286293879359,0.3584384415355788,1.0628523058710324,0.3788470121272853,1.2473427279264722
top10_equal_mw15p,credible_but_execution_sensitive,False,0.4695386369753933,0.4095539068523175,-0.3372420039507088,1.392289903021751,1.1911208089357852,0.5200177805027963,PLTR,0.1268286293879359,0.3584384415355788,1.0628523058710324,0.3788470121272853,1.2473427279264722
top10_equal_mw10p,credible_but_execution_sensitive,False,0.4695386369753933,0.4095539068523175,-0.3372420039507088,1.392289903021751,1.1911208089357852,0.5200177805027963,PLTR,0.1268286293879359,0.3584384415355788,1.0628523058710324,0.3788470121272853,1.2473427279264722
top10_roll3mcap50p_derisk50,credible_but_execution_sensitive,False,0.4612680511551825,0.3933443988980722,-0.337242003950709,1.3677657164633652,1.1439780960868176,0.5044251368758288,PLTR,0.1271775467452413,0.3641448843610064,1.0797732195133962,0.3723903940855928,1.226084501509214
top5_voltarget15p_w60,credible_but_execution_sensitive,False,0.3865163474929236,0.347609123017969,-0.1527520724750866,2.530350922446327,2.207761737053198,0.7402417721274064,PLTR,0.1608492712972065,0.1721393298835092,1.126919766745452,0.3042969057258746,2.482792107839836
top5_voltarget15p_w20,credible_but_execution_sensitive,False,0.3340914251477342,0.2788260652230463,-0.161501926897481,2.068652873471971,1.667250537043482,0.6462084027243582,PLTR,0.1739867063106324,0.1851239378673905,1.146264576675328,0.2528832389019404,1.9922410960047892
top5_roll3mcap30p_derisk50,credible_but_execution_sensitive,False,0.6619985652895779,0.5600761117580428,-0.3466670370941141,1.9096092055324447,1.5658552388955178,0.6965030653133278,PLTR,0.1430711239375825,0.3254597585859933,0.9388252235173896,0.5211560805198621,1.735705242772278
top5_ytdcap60p_derisk50p,credible_but_execution_sensitive,False,0.6607188823207915,0.5718114603115885,-0.3929853384783277,1.6812812530847856,1.42298749896897,0.6078938037242452,PLTR,0.1488183822140945,0.3864365252837276,0.9833357315060208,0.5164429884549553,1.570086882945188
top5_ytdcap40p_derisk50p,credible_but_execution_sensitive,False,0.6125616765983362,0.5286636115622672,-0.3929853384783278,1.5587392623099536,1.3156114604680444,0.6241439780378846,PLTR,0.1659285844187858,0.3376790425994398,0.8592662614512833,0.4744820953645137,1.442517626878669
top5_ytdcap60p_derisk75p,credible_but_execution_sensitive,False,0.5860960552512389,0.4946151774955885,-0.3929853384783278,1.4913942019329574,1.230879867278303,0.5795876808642665,PLTR,0.1497564837252872,0.3488851212429296,0.8877815202822634,0.4543062962669588,1.3811792832005465
top5_ytdcap40p_derisk75p,credible_but_execution_sensitive,False,0.5137925580332718,0.4299144748209369,-0.3929853384783275,1.307408973634284,1.0698682446179812,0.6027594541095376,PLTR,0.1791692806795059,0.2769366727423314,0.7046997575396925,0.3910190066853485,1.1887736441453705
top5_ytdcap60p_derisk100p,credible_but_execution_sensitive,False,0.5101625980675062,0.4167796267820971,-0.3929853384783275,1.2981720896838007,1.037181378653558,0.5480330548381923,NVDA,0.148369610270081,0.308803091630607,0.7857878180044038,0.3883067171751881,1.0561824652089158
top10_ytdcap40p_derisk50p,credible_but_execution_sensitive,False,0.4162394875715798,0.3530445013029295,-0.3372420039507086,1.234245683205042,1.0267724100454314,0.5246341875674323,PLTR,0.1395512532285513,0.294656792641347,0.8737250674278818,0.3280675129012356,1.0801527091067389
top5_regime_qqq_ma200,credible_but_execution_sensitive,False,0.3052403459900625,0.2407178201930853,-0.2629001172573971,1.161050627037992,0.8175801272756712,0.4935139454561884,INTC,0.188561684558583,0.2536780300493892,1.2182459392090006,0.2119898007214884,0.9062037770346796
top5_regime_qqq_spy_ma200,credible_but_execution_sensitive,False,0.3052403459900625,0.2407178201930853,-0.2629001172573971,1.161050627037992,0.8175801272756712,0.4935139454561884,INTC,0.188561684558583,0.2536780300493892,1.2182459392090006,0.2119898007214884,0.9062037770346796
top10_voltarget20p_w60,credible_but_execution_sensitive,False,0.269381525549992,0.2232917225315169,-0.2106036233169397,1.279092549820935,1.0325759714304037,0.6018262920857131,PLTR,0.1358848986970335,0.1702944326544071,0.8086016278937842,0.21531167291436,1.157105653295708
top15_equal_mw10p,credible_but_execution_sensitive,False,0.3615489572595849,0.3163420004549322,-0.3209512206481363,1.126491921512137,0.9671183499655116,0.5104269997051055,PLTR,0.1227662818074698,0.2840464449113802,0.8850143780035182,0.2985902471327404,1.0010007304755602
top10_dropout_mw10p,credible_but_execution_sensitive,False,0.3461855772558444,0.334501061324413,-0.2934568896964902,1.179681205010689,1.1349161936439336,0.6342504327860582,PLTR,0.1655587155326048,0.1743366355484439,0.5940792043722417,0.2549296226949082,0.988311546574186
top10_voltarget25p_w60,credible_but_execution_sensitive,False,0.300547033671926,0.2473426274583556,-0.257384131147746,1.1676983826924558,0.9368068923864428,0.6050581049384882,PLTR,0.1335253705695526,0.1840852193535804,0.7152158858150833,0.2390681353620578,1.047542350897872
top10_ytdcap40p_derisk75p,credible_but_execution_sensitive,False,0.3867034416019965,0.3221759433599345,-0.3372420039507088,1.14666452301866,0.9369962387220306,0.5286129439432579,PLTR,0.1439493730232394,0.2597622901216763,0.770254852831569,0.300458698879922,0.9892514949126848
top10_ytdcap40p_derisk100p,credible_but_execution_sensitive,False,0.3554403872786817,0.289767436033145,-0.3372420039507088,1.053962386401407,0.8427413755217971,0.5338222352770537,PLTR,0.1451793656500562,0.2231477202427148,0.6616842434471184,0.2715262965350826,0.8939924048023117
top10_voltarget15p_w60,credible_but_execution_sensitive,False,0.2253856066748558,0.1900180898716144,-0.1615453790030807,1.3951844866485326,1.1444341452578466,0.6390925954677359,PLTR,0.1430889449733992,0.1304238096101748,0.807350915359128,0.1795756765738343,1.262628451671822
top10_voltarget20p_w20,credible_but_execution_sensitive,False,0.2548306086221308,0.186603390881928,-0.2166983178566567,1.1759694821013706,0.8339474511310979,0.5048806995896061,PLTR,0.1324640255621714,0.1698736124743185,0.7839175410059609,0.2002162692127405,1.0487936136597504
top10_voltarget25p_w20,credible_but_execution_sensitive,False,0.2848492235452831,0.2172863232109854,-0.2597994444780025,1.0964196791013598,0.8118102339747804,0.5299271012403735,PLTR,0.1256682576227186,0.1790798578368329,0.6893003878304905,0.2265279630975019,0.9988950210953154
top5_ytdcap40p_derisk100p,credible_but_execution_sensitive,False,0.4143196009822045,0.3311517652905227,-0.3929853384783277,1.054287680518782,0.8240912520591022,0.5763871397017503,PLTR,0.1915742379683503,0.2147355174156864,0.5464211928291283,0.3063719242776199,0.9314300907638784
top10_voltarget15p_w20,credible_but_execution_sensitive,False,0.2112575657182449,0.1571494602755725,-0.1664901533924544,1.268889249085282,0.913026939745646,0.5356568644979819,PLTR,0.1450327990225464,0.1336234518208874,0.8025907184186871,0.1637954851963181,1.1257990287439787
top5_regime_qqq_vol35,likely_overfit,False,0.3386283467526485,0.2770083371420209,-0.3929853384783276,0.8616818837665702,0.6893520473487603,0.8192500826774984,INTC,0.1659552713259364,0.0695369616362671,0.1769454349251808,0.2389319283679261,0.6472851017524858
