ticker,price_file,readable,read_error,rows,first_date,last_date,columns,has_date,has_ticker,has_adj_close,has_volume,has_open,has_high,has_low,has_close,duplicate_date_ticker_count,universe_status,covers_limited_start,covers_limited_end,covers_limited_window
QQQ,data/unified_ohlcv/us_stock_selection/prices/QQQ.parquet,True,NA,6829,1999-03-10,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
RIVN,data/unified_ohlcv/us_stock_selection/prices/RIVN.parquet,True,NA,1122,2021-11-10,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
ROKU,data/unified_ohlcv/us_stock_selection/prices/ROKU.parquet,True,NA,2159,2017-09-28,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
SHOP,data/unified_ohlcv/us_stock_selection/prices/SHOP.parquet,True,NA,2754,2015-05-20,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
SHY,data/unified_ohlcv/us_stock_selection/prices/SHY.parquet,True,NA,5978,2002-07-30,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
SKYY,data/unified_ohlcv/us_stock_selection/prices/SKYY.parquet,True,NA,3728,2011-07-06,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
SMH,data/unified_ohlcv/us_stock_selection/prices/SMH.parquet,True,NA,6516,2000-06-05,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
SNOW,data/unified_ohlcv/us_stock_selection/prices/SNOW.parquet,True,NA,1413,2020-09-16,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
SOXL,data/unified_ohlcv/us_stock_selection/prices/SOXL.parquet,True,NA,4061,2010-03-11,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
SOXX,data/unified_ohlcv/us_stock_selection/prices/SOXX.parquet,True,NA,6237,2001-07-13,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
SPY,data/unified_ohlcv/us_stock_selection/prices/SPY.parquet,True,NA,8371,1993-01-29,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
SSO,data/unified_ohlcv/us_stock_selection/prices/SSO.parquet,True,NA,4997,2006-06-21,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
TLT,data/unified_ohlcv/us_stock_selection/prices/TLT.parquet,True,NA,5978,2002-07-30,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
TQQQ,data/unified_ohlcv/us_stock_selection/prices/TQQQ.parquet,True,NA,4080,2010-02-11,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
TSLA,data/unified_ohlcv/us_stock_selection/prices/TSLA.parquet,True,NA,3985,2010-06-29,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
UBER,data/unified_ohlcv/us_stock_selection/prices/UBER.parquet,True,NA,1754,2019-05-10,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
UPRO,data/unified_ohlcv/us_stock_selection/prices/UPRO.parquet,True,NA,4239,2009-06-25,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
UPST,data/unified_ohlcv/us_stock_selection/prices/UPST.parquet,True,NA,1349,2020-12-16,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
XBI,data/unified_ohlcv/us_stock_selection/prices/XBI.parquet,True,NA,5091,2006-02-06,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
XLK,data/unified_ohlcv/us_stock_selection/prices/XLK.parquet,True,NA,6881,1998-12-22,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
