strategy_id,ticker,return_contribution,abs_share
top10_equal_mw20p,XLK,0.0125296950340271,0.0096477677216027
top10_equal_mw20p,UPRO,0.011813861131668,0.0090965811844641
top10_equal_mw20p,AAPL,0.0100313246250152,0.0077240419387154
top10_equal_mw20p,PANW,-0.0066957473754882,0.0051556734003349
top10_equal_mw20p,AMZN,0.0016714334487915,0.0012869907553428
top10_equal_mw20p,META,-0.0013414502143859,0.001032906231424
top10_equal_mw20p,QQQ,0.0012947499752044,0.0009969474104836
top10_equal_mw20p,SHY,0.0,0.0
top10_equal_mw20p,SPY,0.0,0.0
top10_equal_mw20p,TLT,0.0,0.0
top10_equal_mw20p,IWM,0.0,0.0
top10_equal_mw15p,PLTR,0.1647141695022583,0.1268286293879359
top10_equal_mw15p,NVDA,0.1220430493354797,0.093972198750824
top10_equal_mw15p,INTC,0.1121433973312378,0.0863495437059687
top10_equal_mw15p,MSTR,0.0989601910114288,0.0761985773772533
top10_equal_mw15p,SHOP,0.0974335014820099,0.075023038314025
top10_equal_mw15p,TQQQ,0.0963478028774261,0.0741870588329406
top10_equal_mw15p,NET,0.08962162733078,0.0690079559774811
top10_equal_mw15p,QLD,0.0503382444381713,0.0387600566920299
top10_equal_mw15p,AMD,0.0492610931396484,0.0379306585701323
top10_equal_mw15p,MU,0.0401494562625885,0.0309147690441116
top10_equal_mw15p,CRM,-0.0352544844150543,0.0271456787940662
top10_equal_mw15p,AVGO,0.032007610797882,0.0246456113626716
top10_equal_mw15p,SNOW,-0.0316854894161224,0.0243975804041416
top10_equal_mw15p,ADBE,-0.0292687594890594,0.0225367171573642
top10_equal_mw15p,SOXX,0.0281364262104034,0.0216648293399636
top10_equal_mw15p,ORCL,-0.0225004374980926,0.0173251618675883
top10_equal_mw15p,SSO,0.0209462761878967,0.0161284697468342
top10_equal_mw15p,GOOGL,0.0201212108135223,0.0154931758258342
top10_equal_mw15p,CRWD,0.0201093316078186,0.0154840289298375
