ticker,price_file,readable,rows,date_min,date_max,adj_close_missing_count,volume_missing_count,non_positive_price_count,non_positive_volume_count,missing_handling
SHY,data/unified_ohlcv/us_stock_selection/prices/SHY.parquet,True,5978,2002-07-30 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SKYY,data/unified_ohlcv/us_stock_selection/prices/SKYY.parquet,True,3728,2011-07-06 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SMH,data/unified_ohlcv/us_stock_selection/prices/SMH.parquet,True,6516,2000-06-05 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SNOW,data/unified_ohlcv/us_stock_selection/prices/SNOW.parquet,True,1413,2020-09-16 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SOXL,data/unified_ohlcv/us_stock_selection/prices/SOXL.parquet,True,4061,2010-03-11 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SOXX,data/unified_ohlcv/us_stock_selection/prices/SOXX.parquet,True,6237,2001-07-13 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SPY,data/unified_ohlcv/us_stock_selection/prices/SPY.parquet,True,8371,1993-01-29 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SSO,data/unified_ohlcv/us_stock_selection/prices/SSO.parquet,True,4997,2006-06-21 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
TLT,data/unified_ohlcv/us_stock_selection/prices/TLT.parquet,True,5978,2002-07-30 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
TQQQ,data/unified_ohlcv/us_stock_selection/prices/TQQQ.parquet,True,4080,2010-02-11 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
TSLA,data/unified_ohlcv/us_stock_selection/prices/TSLA.parquet,True,3985,2010-06-29 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
UBER,data/unified_ohlcv/us_stock_selection/prices/UBER.parquet,True,1754,2019-05-10 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
UPRO,data/unified_ohlcv/us_stock_selection/prices/UPRO.parquet,True,4239,2009-06-25 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
UPST,data/unified_ohlcv/us_stock_selection/prices/UPST.parquet,True,1349,2020-12-16 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
XBI,data/unified_ohlcv/us_stock_selection/prices/XBI.parquet,True,5091,2006-02-06 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
XLK,data/unified_ohlcv/us_stock_selection/prices/XLK.parquet,True,6881,1998-12-22 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
