candidate_id,rebalance_date,selected_tickers,selected_count
momentum_rank__p002,2018-02-28,NFLX;NOW;AMZN;SHOP;TQQQ;PANW;QLD;NVDA;ADBE;MSFT,10
momentum_rank__p002,2018-03-29,NFLX;NOW;PANW;ADBE;MU;AMZN;SHOP;NVDA;INTC;CRM,10
momentum_rank__p002,2018-04-30,PANW;NOW;ADBE;AMZN;NFLX;CRM;CIBR;MU;SHOP;INTC,10
momentum_rank__p002,2018-05-31,NFLX;ADBE;MU;PANW;INTC;AMD;NOW;AMZN;META;IWM,10
momentum_rank__p002,2018-06-29,AMD;NFLX;TSLA;TQQQ;META;AMZN;QLD;SHOP;ARKK;CRM,10
momentum_rank__p002,2018-07-31,AMD;TQQQ;SOXL;UPRO;GOOGL;QLD;AAPL;MU;ARKK;SSO,10
momentum_rank__p002,2018-08-31,AMD;AMZN;TQQQ;AAPL;UPRO;CRM;QLD;MSTR;IBB;ARKK,10
momentum_rank__p002,2018-09-28,AMD;TQQQ;AAPL;UPRO;NVDA;AMZN;ORCL;CRM;QLD;MSFT,10
momentum_rank__p002,2018-10-31,AAPL;AVGO;ORCL;GLD;SHY;DIA;MSFT;NOW;ADBE;CRM,10
momentum_rank__p002,2018-11-30,TSLA;AVGO;SHOP;INTC;GLD;ORCL;SHY;MSFT;DIA;TLT,10
momentum_rank__p002,2018-12-31,TSLA;GLD;TLT;AVGO;SHY;INTC;NOW;MSTR;MSFT;DIA,10
momentum_rank__p002,2019-01-31,AMD;NOW;SHOP;AVGO;SOXL;PANW;NFLX;META;CRM;SOXX,10
momentum_rank__p002,2019-02-28,PANW;NOW;NFLX;SHOP;SOXL;CRM;META;AVGO;IGV;AMD,10
momentum_rank__p002,2019-03-29,SOXL;SHOP;TQQQ;AMD;UPRO;NFLX;NOW;NVDA;QLD;PANW,10
momentum_rank__p002,2019-04-30,SOXL;TQQQ;SHOP;NOW;AMD;NVDA;UPRO;QLD;META;AAPL,10
momentum_rank__p002,2019-05-31,SHOP;AMD;TLT;MSFT;META;NOW;AMZN;ADBE;SHY;GLD,10
momentum_rank__p002,2019-06-28,SHOP;AMD;META;MSFT;NOW;ADBE;UPRO;GLD;TQQQ;SOXL,10
momentum_rank__p002,2019-07-31,SHOP;AMD;GLD;TLT;MU;MSFT;ADBE;UPRO;GOOGL;ARKK,10
momentum_rank__p002,2019-08-30,SHOP;SOXL;MU;TQQQ;TSLA;NVDA;AAPL;QLD;UPRO;SMH,10
momentum_rank__p002,2019-09-30,AAPL;GOOGL;TLT;INTC;MU;SOXL;GLD;TSLA;MSTR;SMH,10
momentum_rank__p002,2019-10-31,TSLA;SOXL;NVDA;AAPL;INTC;AMD;MSTR;SMH;TQQQ;SOXX,10
momentum_rank__p002,2019-11-29,TSLA;SOXL;NVDA;TQQQ;AAPL;AMD;UPRO;INTC;QLD;XBI,10
momentum_rank__p002,2019-12-31,TSLA;SOXL;AMD;TQQQ;NVDA;UPRO;AAPL;QLD;XBI;MU,10
momentum_rank__p002,2020-01-31,TSLA;SHOP;AMD;NOW;TQQQ;AAPL;ADBE;QLD;SOXL;NFLX,10
momentum_rank__p002,2020-02-28,TSLA;SHOP;NVDA;NFLX;NOW;AMD;MU;ADBE;TLT;GLD,10
momentum_rank__p002,2020-03-31,TSLA;TLT;NFLX;NVDA;AMZN;SHOP;GLD;SHY;NOW;MSFT,10
momentum_rank__p002,2020-04-30,SHOP;AMZN;TSLA;NFLX;NVDA;TLT;AMD;IBB;GLD;ARKK,10
momentum_rank__p002,2020-05-29,SHOP;NVDA;AMZN;PANW;TSLA;SKYY;NOW;ARKK;IBB;AMD,10
momentum_rank__p002,2020-06-30,SHOP;TSLA;TQQQ;SOXL;QLD;ARKK;UPRO;XBI;NVDA;AAPL,10
momentum_rank__p002,2020-07-31,TSLA;SOXL;TQQQ;SHOP;AMD;QLD;ARKK;NVDA;UPRO;AAPL,10
momentum_rank__p002,2020-08-31,TSLA;TQQQ;AMD;SOXL;AAPL;CRM;QLD;NVDA;ARKK;UPRO,10
momentum_rank__p002,2020-09-30,TSLA;AMD;NVDA;SOXL;CRM;TQQQ;MSTR;AAPL;ARKK;UPRO,10
momentum_rank__p002,2020-10-30,MSTR;TSLA;CRM;NVDA;NOW;AVGO;GOOGL;ARKK;META;SOXL,10
momentum_rank__p002,2020-11-30,MSTR;SOXL;MU;XBI;SMH;SOXX;ARKK;IWM;AVGO;PANW,10
momentum_rank__p002,2020-12-31,MSTR;SOXL;TSLA;MU;PANW;UPRO;ARKK;TQQQ;IWM;CIBR,10
momentum_rank__p002,2021-01-29,MSTR;SOXL;TSLA;MU;PANW;TQQQ;ARKK;UPRO;IWM;XBI,10
momentum_rank__p002,2021-02-26,MSTR;SOXL;MU;SHOP;INTC;ARKK;TSLA;AVGO;PANW;SMH,10
momentum_rank__p002,2021-03-31,MSTR;SOXL;INTC;MU;UPRO;GOOGL;SOXX;SMH;IWM;SSO,10
momentum_rank__p002,2021-04-30,UPRO;GOOGL;SSO;ORCL;META;TQQQ;NVDA;QLD;DIA;SPY,10
momentum_rank__p002,2021-05-28,UPRO;META;ORCL;NVDA;SSO;GOOGL;GLD;DIA;CRM;SPY,10
momentum_rank__p002,2021-06-30,NVDA;TQQQ;SHOP;UPRO;ADBE;QLD;AMD;GOOGL;META;SSO,10
momentum_rank__p002,2021-07-30,AMD;NVDA;SHOP;TQQQ;ADBE;SOXL;NOW;QLD;UPRO;ORCL,10
momentum_rank__p002,2021-08-31,TQQQ;MSTR;NOW;AMD;ADBE;NVDA;QLD;PANW;SHOP;UPRO,10
momentum_rank__p002,2021-09-30,PANW;NFLX;TSLA;NOW;CRM;AMD;ORCL;GOOGL;CIBR;AVGO,10
